customer_id,order_id,order_date,product_category,channel,city,price,quantity
1210,100000,2024-10-16,Fashion,web,Bursa,900.0,1.0
860,100001,2024-03-08,Electronics,desktop,Istanbul,13136.0,1.0
441,100002,2023-08-14,Grocery,mobile,Istanbul,277.0,4.0
256,100003,2023-12-11,Sports,desktop,Antalya,1284.0,2.0
1355,100004,2024-01-23,Grocery,desktop,Istanbul,78.0,2.0
334,100005,2023-08-22,Electronics,web,Istanbul,4234.0,1.0
502,100006,2024-01-15,Grocery,mobile,Antalya,150.0,5.0
115,100007,2023-06-17,Grocery,mobile,Istanbul,108.0,4.0
436,100008,2023-08-23,Grocery,mobile,Istanbul,111.0,4.0
1530,100009,2024-11-02,Electronics,desktop,Istanbul,4652.0,1.0
1764,100010,2024-08-21,Fashion,mobile,Istanbul,589.0,2.0
515,100011,2023-04-23,Grocery,mobile,Antalya,237.0,4.0
229,100012,2024-07-20,Sports,mobile,Izmir,,1.0
1870,100013,2023-10-28,Electronics,desktop,Istanbul,7939.0,1.0
1595,100014,2023-04-19,Beauty,mobile,Ankara,329.0,2.0
491,100015,2024-06-27,Sports,mobile,Istanbul,1280.0,1.0
258,100016,2023-03-01,Electronics,desktop,Ankara,14940.0,1.0
1547,100017,2023-05-12,Electronics,desktop,Adana,8236.0,1.0
461,100018,2024-12-07,Home,mobile,Izmir,1713.0,3.0
1855,100019,2023-03-07,Home,web,Adana,979.0,2.0
1170,100020,2023-02-02,Electronics,desktop,Izmir,10496.0,1.0
957,100021,2024-08-13,Home,mobile,Adana,1160.0,3.0
390,100022,2023-02-25,Electronics,mobile,Bursa,8885.0,1.0
1128,100023,2024-07-03,Fashion,mobile,Istanbul,406.0,3.0
995,100024,2023-04-11,Electronics,desktop,Istanbul,2363.0,1.0
932,100025,2024-05-07,Grocery,mobile,Ankara,241.0,5.0
1984,100026,2023-10-20,Fashion,mobile,Bursa,235.0,1.0
323,100027,2023-03-01,Electronics,desktop,Istanbul,12317.0,1.0
1824,100028,2023-02-28,Grocery,mobile,Istanbul,47.0,4.0
419,100029,2024-08-06,Electronics,mobile,Ankara,11221.0,1.0
149,100030,2024-11-16,Electronics,desktop,Antalya,2806.0,1.0
1805,100031,2023-01-10,Fashion,mobile,Adana,558.0,2.0
1340,100032,2023-03-12,Grocery,mobile,Istanbul,253.0,4.0
1134,100033,2024-06-25,Fashion,desktop,antlaya,671.0,1.0
1855,100034,2023-06-09,Fashion,desktop,Istanbul,467.0,2.0
1519,100035,2023-02-22,Home,mobile,Istanbul,1151.0,0.0
1710,100036,2024-03-28,Fashion,web,Ankara,1054.0,
1841,100037,2024-01-14,Fashion,mobile,Izmir,252.0,2.0
317,100038,2024-01-02,Automotive,desktop,Izmir,302.0,2.0
1907,100039,2023-08-31,Fashion,mobile,Ankara,1083.0,2.0
1759,100040,2024-02-26,Grocery,mobile,Istanbul,116.0,1.0
396,100041,2024-04-26,Fashion,desktop,Istanbul,859.0,3.0
1099,100042,2024-02-13,Fashion,mobile,Adana,347.0,3.0
890,100043,2023-12-06,Electronics,mobile,Ankara,3885.0,1.0
1452,100044,2023-12-20,Beauty,mobile,Bursa,483.0,3.0
1886,100045,2024-03-22,Grocery,mobile,antlaya,163.0,2.0
1428,100046,2023-12-05,Automotive,desktop,Istanbul,996.0,2.0
832,100047,2023-10-30,Sports,mobile,Adana,1114.0,1.0
1384,100048,2024-07-15,Fashion,mobile,Adana,603.0,2.0
1269,100049,2023-08-07,Home,mobile,Istanbul,1643.0,2.0
974,100050,2023-12-10,Home,mobile,Ankara,1696.0,3.0
500,100051,2024-09-17,Automotive,desktop,Istanbul,1829.0,2.0
1962,100052,2023-06-01,Fashion,web,Istanbul,,1.0
1145,100053,2024-12-13,Grocery,mobile,Ankara,154.0,3.0
914,100054,2024-09-01,Home,mobile,Istanbul,669.0,3.0
1284,100055,2023-06-12,Fashion,mobile,Antalya,762.0,2.0
474,100056,2023-09-02,Sports,mobile,Ankara,383.0,1.0
861,100057,2024-01-28,Grocery,mobile,Bursa,166.0,4.0
721,100058,2024-02-03,Electronics,mobile,Istanbul,10935.0,1.0
452,100059,2023-11-02,Fashion,mobile,Adana,1091.0,1.0
958,100060,2024-05-14,Sports,mobile,Izmir,706.0,1.0
1776,100061,2023-05-11,Automotive,desktop,Istanbul,1027.0,1.0
1949,100062,2024-04-17,Fashion,mobile,Ankara,934.0,2.0
1600,100063,2024-03-07,Home,mobile,Istanbul,1511.0,3.0
235,100064,2024-10-29,Automotive,desktop,Ankara,1509.0,2.0
1593,100065,2024-07-31,Home,mobile,Bursa,1399.0,3.0
1465,100066,2023-06-17,Fashion,mobile,Adana,1120.0,1.0
248,100067,2023-07-23,Electronics,desktop,Izmir,13807.0,1.0
1685,100068,2024-08-02,Grocery,mobile,Bursa,162.0,4.0
1978,100069,2024-05-16,Grocery,mobile,Izmir,70.0,1.0
1745,100070,2024-10-28,Electronics,web,Adana,9009.0,1.0
59,100071,2023-09-09,Fashion,desktop,Istanbul,643.0,1.0
566,100072,2024-05-21,Grocery,mobile,Istanbul,24.0,4.0
1006,100073,2024-07-23,Beauty,desktop,İstanbul,404.0,3.0
1088,100074,2024-04-03,Electronics,desktop,Antalya,14917.0,1.0
395,100075,2023-12-19,Fashion,mobile,Istanbul,803.0,2.0
1557,100076,2023-11-20,Electronics,desktop,Antalya,4338.0,1.0
260,100077,2024-06-21,Fashion,mobile,Istanbul,833.0,1.0
26,100078,2023-10-08,Fashion,mobile,Istanbul,800.0,1.0
134,100079,2024-08-10,Fashion,web,Bursa,646.0,1.0
509,100080,2024-02-15,Grocery,mobile,Istanbul,163.0,3.0
609,100081,2023-05-02,Home,desktop,Istanbul,1292.0,3.0
433,100082,2024-08-25,Electronics,mobile,Bursa,12651.0,1.0
67,100083,2023-09-28,Electronics,desktop,Ankara,-280.0,1.0
1208,100084,2023-08-26,Fashion,mobile,Izmir,1036.0,2.0
123,100085,2024-11-08,Electronics,desktop,Antalya,11323.0,1.0
825,100086,2023-06-19,Beauty,mobile,Istanbul,329.0,4.0
188,100087,2023-10-06,Grocery,desktop,Izmir,171.0,4.0
83,100088,2023-08-23,Fashion,mobile,Ankara,890.0,3.0
187,100089,2023-06-29,Sports,mobile,Antalya,1166.0,2.0
1936,100090,2024-04-26,Fashion,mobile,Ankara,452.0,3.0
1054,100091,2024-02-15,Grocery,mobile,Izmir,112.0,2.0
1557,100092,2023-01-02,Home,desktop,Istanbul,1419.0,2.0
1247,100093,2023-02-22,Home,mobile,Adana,1643.0,1.0
1940,100094,2023-09-03,Beauty,desktop,Istanbul,457.0,4.0
968,100095,2023-05-01,Grocery,mobile,Istanbul,115.0,5.0
1583,100096,2023-09-07,Fashion,mobile,Bursa,1066.0,1.0
1352,100097,2024-02-29,Fashion,mobile,Ankara,928.0,0.0
1781,100098,2024-05-16,Fashion,desktop,Istanbul,644.0,1.0
1871,100099,2023-07-13,Beauty,mobile,Antalya,272.0,4.0
1209,100100,2024-01-26,Grocery,mobile,Istanbul,88.0,3.0
1341,100101,2023-12-06,Grocery,mobile,Istanbul,72.0,1.0
1382,100102,2023-06-08,Electronics,web,Antalya,8041.0,1.0
1293,100103,2024-06-30,Grocery,mobile,Adana,254.0,3.0
909,100104,2024-12-01,Electronics,desktop,Bursa,4039.0,1.0
1088,100105,2023-06-20,Beauty,mobile,Ankara,217.0,2.0
1870,100106,2024-02-26,Fashion,mobile,Istanbul,228.0,1.0
1388,100107,2024-08-20,Fashion,mobile,Adana,541.0,1.0
1732,100108,2024-07-13,Sports,web,Bursa,1193.0,2.0
605,100109,2023-11-06,Electronics,mobile,Izmir,5686.0,1.0
1242,100110,2023-01-23,Fashion,mobile,Ankara,372.0,1.0
514,100111,2024-05-23,Fashion,mobile,Bursa,655.0,1.0
1616,100112,2024-11-25,Home,mobile,Izmir,547.0,2.0
1611,100113,2024-03-27,Fashion,mobile,Istanbul,1128.0,2.0
1982,100114,2024-07-06,Fashion,mobile,Antalya,372.0,1.0
1484,100115,2023-10-30,Fashion,desktop,Antalya,963.0,1.0
932,100116,2024-11-21,Electronics,mobile,Istanbul,7690.0,1.0
52,100117,2024-01-13,Grocery,mobile,Ankara,73.0,3.0
619,100118,2024-09-26,Sports,desktop,Istanbul,835.0,2.0
278,100119,2024-10-26,Beauty,mobile,Izmir,57.0,2.0
850,100120,2024-02-02,Electronics,desktop,Ankara,2039.0,1.0
1947,100121,2024-11-01,Electronics,web,Antalya,8602.0,1.0
389,100122,2023-08-30,Grocery,mobile,Adana,239.0,5.0
684,100123,2023-05-06,Electronics,desktop,Antalya,8526.0,1.0
478,100124,2023-09-07,Home,mobile,Ankara,1023.0,2.0
1636,100125,2023-12-03,Beauty,desktop,Istanbul,338.0,2.0
544,100126,2023-06-28,Beauty,web,Istanbul,390.0,2.0
926,100127,2023-02-23,Fashion,web,Adana,660.0,1.0
64,100128,2024-05-30,Grocery,mobile,Istanbul,25.0,4.0
660,100129,2023-03-04,Beauty,web,Antalya,486.0,3.0
604,100130,2024-09-14,Home,web,Adana,1368.0,1.0
1773,100131,2024-04-09,Grocery,mobile,Antalya,224.0,4.0
641,100132,2023-08-09,Fashion,mobile,Izmir,547.0,3.0
1525,100133,2024-11-12,Electronics,mobile,Ankara,11857.0,1.0
1363,100134,2024-01-17,Beauty,mobile,Adana,285.0,1.0
1345,100135,2024-03-09,Electronics,mobile,Izmir,4314.0,1.0
1731,100136,2024-05-08,Electronics,mobile,Izmir,6173.0,1.0
548,100137,2024-07-28,Beauty,web,Izmir,275.0,2.0
821,100138,2023-01-30,Grocery,mobile,Izmir,268.0,1.0
758,100139,2023-03-13,Home,desktop,Izmir,1786.0,1.0
1381,100140,2023-11-16,Sports,desktop,Antalya,1453.0,1.0
881,100141,2023-03-25,Fashion,mobile,Antalya,252.0,2.0
16,100142,2023-04-24,Fashion,mobile,Istanbul,1082.0,3.0
360,100143,2023-07-29,Electronics,desktop,Istanbul,13137.0,1.0
87,100144,2023-05-13,Home,desktop,Izmir,480.0,3.0
43,100145,2024-03-22,Beauty,mobile,İstanbul,110.0,2.0
893,100146,2023-11-29,Electronics,mobile,Istanbul,6277.0,1.0
1297,100147,2024-08-26,Electronics,desktop,Istanbul,7876.0,1.0
211,100148,2023-04-27,Fashion,mobile,Istanbul,929.0,1.0
951,100149,2023-05-30,Fashion,desktop,Ankara,413.0,3.0
1285,100150,2024-07-31,Grocery,mobile,Ankara,45.0,4.0
636,100151,2023-11-20,Home,mobile,Istanbul,918.0,3.0
1039,100152,2024-04-17,Fashion,mobile,Izmir,1182.0,2.0
659,100153,2024-01-29,Grocery,mobile,Istanbul,26.0,3.0
1034,100154,2024-09-11,Beauty,mobile,Ankara,323.0,2.0
580,100155,2024-10-23,Fashion,mobile,Istanbul,830.0,1.0
1390,100156,2024-02-01,Electronics,desktop,Adana,7729.0,1.0
290,100157,2024-01-31,Fashion,desktop,Adana,411.0,1.0
1318,100158,2023-12-25,Home,mobile,Ankara,310.0,3.0
868,100159,2023-12-03,Home,mobile,Izmir,947.0,3.0
282,100160,2024-06-04,Fashion,mobile,Adana,519.0,2.0
690,100161,2023-06-08,Fashion,mobile,Istanbul,576.0,1.0
897,100162,2024-09-24,Electronics,desktop,Ankara,8267.0,1.0
1094,100163,2023-02-14,Electronics,desktop,Istanbul,5235.0,1.0
946,100164,2023-09-02,Beauty,desktop,Ankara,89.0,1.0
107,100165,2023-10-16,Automotive,desktop,Ankara,1855.0,1.0
329,100166,2024-10-18,Beauty,mobile,Istanbul,484.0,2.0
1906,100167,2023-10-07,Sports,mobile,Izmir,272.0,2.0
203,100168,2023-01-28,Fashion,web,Bursa,923.0,1.0
961,100169,2024-10-27,Home,mobile,Bursa,853.0,2.0
867,100170,2024-04-04,Grocery,mobile,Ankara,278.0,1.0
1714,100171,2023-04-24,Fashion,mobile,Ankara,849.0,2.0
493,100172,2024-05-26,Fashion,mobile,Istanbul,,1.0
1040,100173,2024-08-07,Home,mobile,Ankara,1642.0,2.0
494,100174,2024-07-21,Electronics,mobile,İzmir,11661.0,1.0
359,100175,2024-11-03,Electronics,mobile,Antalya,4135.0,1.0
601,100176,2024-12-02,Fashion,web,Bursa,771.0,1.0
519,100177,2023-07-26,Electronics,mobile,Istanbul,8441.0,1.0
754,100178,2023-02-07,Beauty,desktop,Istanbul,127.0,2.0
1893,100179,2024-03-23,Sports,mobile,Izmir,501.0,2.0
211,100180,2024-06-15,Fashion,mobile,Adana,836.0,2.0
1489,100181,2023-03-23,Grocery,mobile,Izmir,164.0,1.0
1051,100182,2023-12-28,Fashion,mobile,Istanbul,303.0,3.0
1322,100183,2024-11-26,Grocery,mobile,Istanbul,198.0,2.0
158,100184,2024-01-11,Electronics,mobile,Izmir,11727.0,1.0
1061,100185,2024-08-10,Home,mobile,Antalya,1664.0,1.0
1006,100186,2024-02-01,Home,mobile,Istanbul,395.0,2.0
1732,100187,2023-07-24,Home,mobile,Bursa,1341.0,2.0
1435,100188,2023-11-24,Grocery,mobile,Ankara,203.0,5.0
740,100189,2024-10-15,Grocery,mobile,Ankara,192.0,2.0
1469,100190,2024-07-21,Electronics,desktop,Izmir,2293.0,1.0
1393,100191,2024-05-05,Fashion,mobile,Istanbul,1041.0,2.0
1866,100192,2024-06-13,Fashion,mobile,Istanbul,562.0,2.0
1063,100193,2023-02-26,Grocery,mobile,Izmir,130.0,4.0
1030,100194,2023-10-18,Grocery,mobile,Antalya,152.0,5.0
1155,100195,2024-10-18,Home,desktop,Izmir,1601.0,1.0
854,100196,2023-02-12,Fashion,mobile,Antalya,925.0,3.0
1403,100197,2024-09-24,Grocery,mobile,Antalya,129.0,4.0
641,100198,2024-02-20,Electronics,web,Adana,6162.0,1.0
956,100199,2023-11-23,Electronics,mobile,Ankara,11024.0,1.0
1773,100200,2023-05-06,Fashion,mobile,Istanbul,1136.0,3.0
1801,100201,2023-06-13,Fashion,mobile,Antalya,585.0,3.0
577,100202,2023-11-12,Fashion,mobile,Ankara,1138.0,3.0
542,100203,2024-05-21,Grocery,mobile,Istanbul,199.0,5.0
1033,100204,2024-01-10,Sports,mobile,Izmir,761.0,2.0
1628,100205,2024-04-06,Electronics,mobile,Istanbul,14895.0,1.0
1462,100206,2023-12-14,Grocery,mobile,Adana,82.0,5.0
805,100207,2023-12-08,Fashion,mobile,Istanbul,1189.0,3.0
1671,100208,2024-09-23,Fashion,mobile,Istanbul,869.0,1.0
55,100209,2023-01-18,Grocery,mobile,Adana,38.0,2.0
350,100210,2024-09-03,Fashion,mobile,Ankara,701.0,1.0
226,100211,2024-06-20,Fashion,mobile,Istanbul,1096.0,1.0
1738,100212,2023-07-15,Electronics,mobile,İzmir,11593.0,1.0
942,100213,2023-03-05,Grocery,mobile,Antalya,197.0,5.0
394,100214,2024-06-29,Fashion,mobile,Istanbul,1182.0,3.0
1002,100215,2023-09-10,Grocery,mobile,Istanbul,248.0,3.0
1835,100216,2023-11-21,Beauty,mobile,Bursa,340.0,4.0
906,100217,2024-02-09,Automotive,mobile,Adana,551.0,2.0
1261,100218,2024-11-02,Grocery,mobile,Istanbul,26.0,2.0
968,100219,2024-08-23,Electronics,desktop,Istanbul,4952.0,1.0
975,100220,2023-04-13,Beauty,mobile,Bursa,434.0,3.0
476,100221,2024-05-03,Grocery,mobile,Adana,214.0,4.0
75,100222,2024-07-01,Beauty,mobile,Bursa,442.0,2.0
1235,100223,2024-02-11,Beauty,desktop,Antalya,413.0,4.0
1033,100224,2023-04-20,Electronics,desktop,Antalya,5723.0,1.0
691,100225,2024-04-24,Electronics,desktop,Ankara,14308.0,1.0
178,100226,2023-10-30,Grocery,mobile,Istanbul,265.0,3.0
1544,100227,2024-02-15,Fashion,desktop,Antalya,809.0,3.0
243,100228,2023-10-01,Home,mobile,Ankara,241.0,1.0
1877,100229,2024-04-21,Fashion,mobile,Izmir,577.0,3.0
1438,100230,2023-10-30,Electronics,desktop,Istanbul,2145.0,1.0
1613,100231,2024-07-16,Home,desktop,Izmir,1020.0,3.0
415,100232,2023-03-25,Grocery,mobile,Ankara,209.0,2.0
1841,100233,2024-08-09,Fashion,mobile,Antalya,904.0,3.0
632,100234,2024-06-06,Electronics,mobile,Istanbul,5350.0,1.0
124,100235,2023-01-23,Fashion,mobile,Bursa,1006.0,3.0
1974,100236,2023-03-12,Sports,mobile,Antalya,505.0,1.0
1792,100237,2024-03-06,Grocery,mobile,Ankara,246.0,4.0
1710,100238,2024-07-06,Electronics,desktop,Izmir,1981.0,1.0
944,100239,2023-01-04,Grocery,mobile,Istanbul,36.0,1.0
1918,100240,2023-12-21,Grocery,mobile,Ankara,58.0,3.0
91,100241,2023-01-17,Beauty,mobile,Izmir,151.0,2.0
1877,100242,2024-02-16,Electronics,desktop,Adana,8460.0,1.0
453,100243,2024-08-12,Electronics,web,Ankara,9482.0,1.0
1016,100244,2024-02-28,Electronics,web,Bursa,13754.0,1.0
771,100245,2023-02-18,Beauty,mobile,Izmir,247.0,4.0
1152,100246,2023-07-08,Fashion,mobile,Istanbul,1121.0,1.0
1735,100247,2024-02-27,Sports,desktop,Bursa,810.0,1.0
386,100248,2024-01-15,Electronics,desktop,Antalya,13545.0,1.0
1920,100249,2024-08-24,Electronics,mobile,Istanbul,9507.0,1.0
1875,100250,2023-07-14,Sports,web,Ankara,1089.0,2.0
1019,100251,2023-09-03,Beauty,mobile,Adana,322.0,2.0
1153,100252,2024-04-22,Grocery,mobile,Istanbul,117.0,3.0
472,100253,2023-08-15,Home,desktop,Bursa,,3.0
1482,100254,2024-01-24,Fashion,mobile,Bursa,1120.0,1.0
1822,100255,2024-10-19,Grocery,mobile,Izmir,246.0,2.0
14,100256,2024-07-09,Automotive,desktop,Istanbul,1397.0,2.0
1307,100257,2024-02-27,Sports,desktop,Istanbul,128.0,2.0
1480,100258,2024-11-13,Electronics,desktop,Ankara,1771.0,1.0
1881,100259,2023-10-09,Beauty,web,Bursa,458.0,3.0
1965,100260,2023-04-09,Fashion,mobile,Istanbul,202.0,1.0
1331,100261,2024-02-20,Fashion,mobile,Istanbul,1157.0,1.0
889,100262,2023-02-02,Electronics,desktop,Antalya,4132.0,1.0
1778,100263,2024-10-22,Electronics,desktop,Istanbul,11926.0,1.0
68,100264,2024-12-09,Sports,mobile,Istanbul,809.0,1.0
158,100265,2023-07-03,Beauty,web,Ankara,382.0,2.0
287,100266,2023-11-03,Electronics,web,Istanbul,9327.0,1.0
1575,100267,2024-12-06,Beauty,desktop,Adana,415.0,2.0
729,100268,2024-09-20,Electronics,desktop,Istanbul,12245.0,1.0
1461,100269,2024-07-20,Home,desktop,Istanbul,1270.0,3.0
11,100270,2023-03-17,Beauty,web,Antalya,110.0,3.0
212,100271,2023-11-12,Fashion,mobile,Izmir,415.0,3.0
1596,100272,2023-01-27,Beauty,desktop,Istanbul,138.0,1.0
551,100273,2023-03-28,Beauty,mobile,Ankara,489.0,3.0
1934,100274,2023-11-05,Electronics,desktop,Istanbul,8381.0,1.0
1724,100275,2023-09-10,Beauty,mobile,Izmir,310.0,3.0
616,100276,2024-09-27,Electronics,desktop,Ankara,6870.0,1.0
1297,100277,2023-11-25,Home,mobile,Istanbul,1539.0,1.0
410,100278,2024-05-17,Beauty,web,Istanbul,350.0,4.0
1634,100279,2024-08-29,Grocery,web,Izmir,59.0,2.0
518,100280,2023-10-26,Grocery,mobile,Bursa,235.0,3.0
1892,100281,2024-11-05,Beauty,desktop,Istanbul,353.0,1.0
224,100282,2024-12-09,Fashion,mobile,Antalya,555.0,3.0
1542,100283,2023-09-12,Home,desktop,Adana,756.0,2.0
1179,100284,2023-12-06,Grocery,mobile,Istanbul,179.0,3.0
215,100285,2023-08-15,Fashion,web,Istanbul,457.0,2.0
424,100286,2023-10-30,Home,desktop,Istanbul,1748.0,2.0
236,100287,2024-06-17,Fashion,mobile,Istanbul,1065.0,1.0
328,100288,2023-01-24,Home,desktop,Bursa,785.0,1.0
60,100289,2023-12-05,Sports,mobile,Izmir,1345.0,1.0
1631,100290,2024-09-20,Electronics,web,Izmir,2765.0,0.0
1003,100291,2023-03-06,Sports,desktop,Bursa,500.0,2.0
354,100292,2024-06-24,Grocery,desktop,Istanbul,229.0,2.0
375,100293,2024-11-20,Automotive,mobile,Ankara,862.0,1.0
1421,100294,2024-01-18,Grocery,mobile,Istanbul,52.0,3.0
1773,100295,2024-10-22,Fashion,desktop,Istanbul,937.0,1.0
1008,100296,2024-01-03,Sports,desktop,Adana,1394.0,1.0
461,100297,2024-03-01,Beauty,desktop,Adana,224.0,2.0
549,100298,2024-07-04,Fashion,desktop,Adana,581.0,1.0
210,100299,2024-07-10,Sports,mobile,Izmir,1380.0,2.0
241,100300,2024-10-31,Beauty,desktop,Istanbul,369.0,1.0
1608,100301,2023-08-31,Home,desktop,Adana,407.0,3.0
600,100302,2023-07-31,Sports,desktop,Adana,1432.0,2.0
843,100303,2023-10-24,Home,mobile,Bursa,586.0,1.0
1560,100304,2023-03-02,Electronics,desktop,Antalya,4446.0,1.0
1575,100305,2024-11-23,Electronics,desktop,Istanbul,13036.0,1.0
1780,100306,2023-04-06,Grocery,mobile,Izmir,233.0,5.0
880,100307,2023-04-06,Fashion,mobile,Istanbul,916.0,1.0
1832,100308,2023-08-05,Electronics,desktop,Ankara,2889.0,1.0
935,100309,2024-11-29,Automotive,mobile,Izmir,828.0,1.0
1796,100310,2023-01-01,Sports,web,Bursa,1211.0,1.0
1487,100311,2023-10-08,Fashion,web,Istanbul,791.0,2.0
1064,100312,2024-12-17,Grocery,mobile,Izmir,261.0,4.0
469,100313,2024-11-27,Electronics,desktop,Adana,,1.0
1791,100314,2024-01-28,Electronics,desktop,Ankara,11933.0,1.0
437,100315,2023-05-17,Automotive,desktop,Izmir,242.0,2.0
253,100316,2024-10-05,Electronics,mobile,Antalya,10008.0,1.0
1231,100317,2024-08-26,Home,desktop,Antalya,1582.0,3.0
1243,100318,2024-09-06,Grocery,mobile,Adana,197.0,4.0
494,100319,2024-06-05,Beauty,mobile,Adana,56.0,3.0
1719,100320,2024-05-26,Beauty,mobile,Adana,459.0,3.0
29,100321,2024-08-05,Grocery,mobile,Bursa,31.0,4.0
868,100322,2023-09-26,Electronics,mobile,Istanbul,5138.0,1.0
1996,100323,2024-12-19,Grocery,mobile,Adana,202.0,3.0
1495,100324,2023-06-09,Electronics,desktop,Izmir,6144.0,1.0
1517,100325,2023-09-02,Automotive,web,Izmir,1837.0,1.0
